filename, BLACKPOD, FROSTYPOD, HEALTHY, MIRID
00011775_jpg.rf.00179513e4ba077dfa7b541a22b036b3.jpg, 1, 1, 0, 0
11089_jpg.rf.000efa197f739d1989eb660a49e8c160.jpg, 1, 0, 0, 0
00011762_jpg.rf.004072f060edf137aa914c9306805040.jpg, 1, 0, 0, 0
197_jpg.rf.005f0a654ef0029c9fccf9b5a1cda544.jpg, 0, 0, 1, 0
00011625_jpg.rf.00b060dbe16c28ac7f65e7dcf0463d2a.jpg, 0, 0, 1, 0
00011955_jpg.rf.00c53c1d1bb515462c0557f9d193145b.jpg, 0, 0, 0, 1
00011883_jpg.rf.00a4a2843e046f2cf66d675b5897b42a.jpg, 0, 0, 0, 1
1277_jpg.rf.00b6207e84135f6af8e78f54f041e5ac.jpg, 0, 0, 1, 0
11521_jpg.rf.00d69496bccf755522aec5b508e8a6b7.jpg, 1, 0, 0, 0
00011936_jpg.rf.00f9b9726f01d091c4c4cfb222dc0b2b.jpg, 0, 0, 1, 0
0001395_jpg.rf.00caef1142dc00959c3a6a75c2566886.jpg, 1, 0, 0, 0
11481_jpg.rf.00f2377cefed2602246fb0bc50feec90.jpg, 0, 0, 1, 0
11677_jpg.rf.0108b50fc2d1f02677e29c0120057f81.jpg, 0, 0, 1, 0
0001449_jpg.rf.016dbfab6c5aebb1c5687f43398023bd.jpg, 0, 0, 1, 0
11070_jpg.rf.01a65cc84fa6dd9d2ac14256317d845e.jpg, 0, 0, 0, 1
00011692_jpg.rf.011b6e26481722b3e4d1b5502a35a02d.jpg, 1, 0, 1, 0
0001429_jpg.rf.01bd5b04174f15e7fdbc0649f56bf348.jpg, 1, 0, 0, 0
00011271_jpg.rf.01afbe97276be147a72ae887472b82ac.jpg, 0, 0, 1, 0
1939_jpg.rf.022bcc37d564fd89f807aa60bc79d49b.jpg, 1, 0, 0, 0
0001173_jpg.rf.02496a4b8280b3b7b680d72aeb471251.jpg, 1, 1, 0, 1
1147_jpg.rf.02a2a616ed902f78fbe56850bbdaae00.jpg, 0, 1, 0, 0
0001657_jpg.rf.029f270196ddb7007d33830aa9621d4b.jpg, 0, 0, 0, 1
0001891_jpg.rf.02dbba47301cbc06e030cde6dbcefc5c.jpg, 1, 0, 0, 0
0001209_jpg.rf.02f1e0250e9b5ce0290e0bf1561ed829.jpg, 0, 1, 0, 1
0001177_jpg.rf.03036990e725e7da1028ab02a03c36ad.jpg, 0, 1, 0, 0
1415_jpg.rf.032541ebf2d698ef5ab26697cd8ba39d.jpg, 0, 0, 0, 1
00011844_jpg.rf.03021153af8d54f7ce49ccedab8caecd.jpg, 0, 0, 1, 0
1910_jpg.rf.035e7ede192ebcec853cdf8c73158d50.jpg, 0, 0, 0, 1
0001898_jpg.rf.04153f2a502ab5ef59215acf8d80cca7.jpg, 1, 0, 0, 0
00011317_jpg.rf.03b8d095bcc0250e91c41360b5ad58a5.jpg, 0, 0, 1, 0
00011004_jpg.rf.03721ec98c090953e9146b01faa9c1a3.jpg, 0, 0, 1, 0
0001784_jpg.rf.041c39a908267b6e45890c0148878da7.jpg, 1, 0, 0, 0
00011141_jpg.rf.041c94106455c24944f4419480b4242f.jpg, 0, 1, 0, 0
00011948_jpg.rf.0443146a80c0a263cd620e88b142027a.jpg, 0, 0, 1, 0
00011419_jpg.rf.042b39c3b3c1ac7aa3f605cb88597d4f.jpg, 0, 0, 0, 1
193_jpg.rf.049535c31b62a6dee277384c0a19b370.jpg, 0, 0, 0, 1
0001246_jpg.rf.04d97dedc8b01e6c2d056d665a18d49a.jpg, 0, 1, 0, 0
0001631_jpg.rf.04adc6ae8470a02e199ed0028672d4d8.jpg, 0, 0, 1, 0
000122_jpg.rf.04bf64b1b1c5357143126665940080c3.jpg, 1, 0, 0, 0
00011251_jpg.rf.0498604f4abc67b3150f4311d46cc124.jpg, 1, 0, 0, 0
00011405_jpg.rf.04f406014bd5111465c319a72e26b88a.jpg, 0, 1, 0, 0
00011658_jpg.rf.050ad645b5fc0f7ffe7ab79dd66dc5be.jpg, 1, 0, 0, 1
00011036_jpg.rf.04de699ed81670dccadce94862ddf7ee.jpg, 1, 0, 1, 0
